; Type: Shadowlands Raid

; -------------------------------------
;    Zone: Castle Nathria
; -------------------------------------

; Boss: Trash
343322	Maldición de Moldovaak
343320	Maldición de Caramain
343325	Maldición de Sindrel
343316	Maldición de Hargitas
343155	Piel de piedra
343302	Alas de granito
329989	Enfurecer
341441	Golpe en el suelo
341352	Trampa maestra de jugador astuto
341735	Restaurar piedra
340630	Ulceración
339553	Ánima persistente
339557	Ánima embotellada
339528	Deseos deformados
339525	Concentrar ánima
342770	Semillas de erradicación
339975	Golpe severo
342752	Carga supurante
341146	Salva de descarga de pecado
343271	Festín voraz

; Boss: Shriekwing
330711	Chillido ensordecedor
340324	Icor sanguino
342074y	Ecolocalización
342863	Chirrido resonante
345397	Oleada de sangre
343005	Barrido ciego
328857	Mordisco desangrador
328897	Desangrado
345936	Chillido ensordecedor
328921	Velo de sangre
329362	Sónar resonante
341684	El farol de sangre
341489	Luz de sangre

; Boss: Huntsman Altimor
335114y	Buscapecados
334404	Tiro de dispersión
334971	Garras dentadas
334945	Embestida sañosa
334797	Destripar alma
334884	Devorar alma
334757	Sombras de Bargast
334860	Piedra aplastante
334852	Aullido petrificador
334893	Fragmentos de piedra

; Boss: Sun King's Salvation
326455	Golpe ígneo
326456	Vestigios ardientes
325877	Explosión de ascuas
329518	Oleada llameante
328579	Restos humeantes
328479y	Ojos en el objetivo
-21954	Vencedor ligarroca
325440	Golpe vencedor
325442	Vencido
325506	Machaque de conmoción
-21993	Asesina Alalúgubre
341473	Aluvión carmesí
333145	Volver a la piedra
-21952	Ocultista vil
333002	Marca vulgar
-21953	Inyectora de almas
-22082	Maligno molesto
326078	Bendición de inyectora
339251	Alma drenada
328889	Escarmiento superior
337859	Capa de llamas
343026	Capa de llamas

; Boss: Artificer Xy'mox
328437y	Rasgadura dimensional
325236	Glifo de destrucción
326271	Trampa de estasis
335013	Explosión de falla
325399	Chispa de hiperluz
340758	Espíritus fugaces
327902y	Fijar
327414	Posesión
340788	Semillas de extinción
329107	Extinción
340860	Toque marchitador
328789	Aniquilar

; Boss: Hungering Destroyer
329298	Miasma glotón
334522	Consumir
329725	Expurgar
334266y	Eyección volátil
329455	Desolar
329774	Arrollar
332295	Hambre creciente

; Boss: Lady Inerva Darkvein
331870	Enfocar ánima
341621	Exponer deseos
325382	Deseos deformados
340452y	Corazón mudable
325936	Cognición compartida
325769	Ánima embotellada
325713	Ánima persistente
324983y	Sufrimiento compartido
332664	Ánima concentrada
331573y	Culpa desmesurada
331550	Condenar

; Boss: The Council of Blood
346690	Estocada de duelista
346698	Invocar auxiliar obediente
330978	Sirvientes dragadores
330965	Cohorte de castellano
346790	Hoja tocada por el pecado
346651y	Drenar esencia
337110	Salva de descarga aterradora
346657	Erupción orgullosa
346945	Dolor manifiesto
346681	Púas de alma
327497	Embestida evasiva
331634y	Recital oscuro
346800	Vals de sangre
346303	Clamor violento
330959	Danza macabra
330848y	Pasos incorrectos
-22433	Imagen persistente de la baronesa Frieda
347350	Fiebre del baile

; Boss: Sludgefist
331209y	Mirada odiosa
331314	Impacto destructivo
335293y	Enlace de cadenas
332318	Pisotón destructivo
341193	Caída de escombros
335361	Piedremoto
332687	Rugido colosal
335470	Embate de cadenas
341102	Roca fracturada
340817	Desplazamiento sísmico
341250	Furia truculenta

; Boss: Stone Legion Generals
329636	Forma de piedra endurecida
333387	Hoja maligna
333913	Laceración maligna
334765	Desgarrar corazón
334929	Barrido dentado
339690y	Cristalizar
342544	Meteoro pulverizador
343063	Púa de piedra
342733	Festín voraz
343898	Efigie almamácula
332406	Infusión de ánima
339885	Infección de ánima
342722	Expulsión de cólera pétrea
332683	Ráfaga devastadora
329808	Forma de piedra endurecida
342425	Puño pétreo
344496y	Erupción resonante
334498	Agitación sísmica
342256	Pedir fuerzas de las Sombras
342655	Infusión de ánima volátil
340037	Capa pétrea volátil
342698	Infección de ánima volátil

; Boss: Sire Denathrius
328936	Inevitable
326699	Carga del pecado
