; Type: The War Within Delves

; -------------------------------------
; Zone: Delve Trash
; -------------------------------------

; Boss: Fungarian
1217589	Esporexplosión
414944	Rugido de batalla
424891	Lanza de enredadera
424773	Esporagénesis
424798	Erupción hinchada
424704	Puñaladas sañosas
425040	Salva de podredumbre
425042	Oleada de esporas
424750	Esporas infecciosas
372529	Risa espantosa

; Boss: Goblin
473684	Tormenta de engranajes
473550	Tromba de cohetes
474001	Baño en sangre
473995	Baño de sangre
473972	Carga imprudente
474004	Temblor de taladro
1213656	¡Horas extra!
473541	Frenesí de puñetazos
473696	Cóctel molotov
472842	Destruir

; Boss: Kobold
449071	Mecha llameante
448399	Grito de batalla
445210	Carga de fuego
445191	Salva prendemechas
448528	Lanzar dinamita

; Boss: Kobyss
455932	Aliento profanador
445252	Final necrótico
430037	Pesca con lanza
440622	Maldición de las profundidades
445492	Cuchilla dentada
445407	Sanguinario
445774	Frenesí vapuleador
374898	Enfurecer
445771	Oleada de burbujas
433040	Paso ilusorio

; Boss: Nerubian
450714	Púas dentadas
450637	Enjambre parasitante
449318	Sombras de discordia
450546	Égida enredada
450509	Gran flagelo
433410	Chillido atemorizador
450197	Carga correteadora
433448	Lanzamiento de telaraña

; Boss: Nightfall
441129	¡Descubierto!
434740	Barrera de las Sombras
443292	Embate umbrío
434281	Eco de Renilash
443482	Bendición del ocaso
440205	Infligir muerte

; Boss: Old God
474325	Agarre abisal
474482	Reclamo del Vacío
474511	Machaque de las Sombras
474206	Pisotón de las Sombras
474223	Machaque de conmoción
474155	Estela de babas
474228	Explosión de las Sombras
455662	Sombras enredadoras

; Boss: Underkeep
451913	Orbe de tejido nefasto
;450714	Púas dentadas
;450637	Enjambre parasitante
448179	Caparazón acorazado
448155	Temblores con onda de choque
448161	Enfurecer
453149	Telaraña de gasa

; Boss: Underpin Rares
418295	Tajo umbrío
418297	Reprender
1214246	Pellizco aplastante
1214238	Endurecer caparazón
1216790	Carga frontal
1216794	Cañón alfa
1216805	¡Zap!
1216806	Ahí está la puerta
1217361	Adoraciones despreciables
1217326	¡Sácate un selfi!
433045	Puñalada
1217418	Llamar a mi agente
1217449	Llamar a mi especulador
1217452	Llamar a mi madre
1217510	Marcación rápida
1218061	Mecha áurea
1218017	Bombardeo de cangrebomba
1218039	Granadas tejidas
1213497	Yo enloquecer
1220869	Rompehuesos
1217301	Carga temeraria
1216937	Gran entrada del Pez Hondo
1213852	Machacar
1217371	Lanzallamas
1214147	Lanzador de bombas de relojería

; Boss: Zekvir Rares
445781	Explosión de lava
445718	Martillo de magma
415253	Aliento fúngico
415250	Brote fúngico
462686	Machacador de cráneos
400335	Trampas de púas
461741	Consagración
459421	Luz Sagrada
;418295	Tajo umbrío
;418297	Reprender
458325	Danza evasiva
458311	Mordedura de veneno
458397	Grito interruptor
458369	Salva de veneno
458104	Salva de veneno
458090	Corte del Vacío
458099	Oscuridad enredadora
449038	Púas empaladoras
457880	Ascensión
457448	Erupción de las Sombras
450519	Red de pescador
450492	Rugido horrendo
450505	Babas debilitantes


; -------------------------------------
; Zone: Demolition Done
; -------------------------------------

; Boss: The Underpin (Tier 8)
;1213852	Machacar
;1217371	Lanzallamas
;1214147	Lanzador de bombas de relojería
1215521	Avisar a secuaces
